,name,artist,colourid,colour,collectornum,expansion,hexval,red_h,green_h,blue_h,codename
2758,Cytoplast Root-Kin,Thomas M. Baxa,['G'],['G'],81,DIS,#A64724,166,71,36,Cytoplast Root-KinDIS4
2759,Cytoplast Root-Kin,Thomas M. Baxa,['G'],['G'],81,DIS,#401B13,64,27,19,Cytoplast Root-KinDIS5
2760,Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,#39736D,57,115,109,Cytospawn ShamblerDIS1
2761,Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,#D9D1BA,217,209,186,Cytospawn ShamblerDIS2
2762,Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,#262014,38,32,20,Cytospawn ShamblerDIS3
2763,Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,#BF7245,191,114,69,Cytospawn ShamblerDIS4
2764,Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,#592411,89,36,17,Cytospawn ShamblerDIS5
2765,Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,#D9D26C,217,210,108,Elemental ResonanceDIS1
2766,Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,#F2EDA7,242,237,167,Elemental ResonanceDIS2
2767,Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,#BFA041,191,160,65,Elemental ResonanceDIS3
2768,Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,#A68444,166,132,68,Elemental ResonanceDIS4
2769,Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,#734A26,115,74,38,Elemental ResonanceDIS5
2770,Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,#444373,68,67,115,Fertile ImaginationDIS1
2771,Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,#9BBFB2,155,191,178,Fertile ImaginationDIS2
2772,Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,#22402C,34,64,44,Fertile ImaginationDIS3
2773,Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,#E4F2E7,228,242,231,Fertile ImaginationDIS4
2774,Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,#85A663,133,166,99,Fertile ImaginationDIS5
2775,Flash Foliage,Ron Spears,['G'],['G'],85,DIS,#F2D64B,242,214,75,Flash FoliageDIS1
2776,Flash Foliage,Ron Spears,['G'],['G'],85,DIS,#D9B343,217,179,67,Flash FoliageDIS2
2777,Flash Foliage,Ron Spears,['G'],['G'],85,DIS,#D98D30,217,141,48,Flash FoliageDIS3
2778,Flash Foliage,Ron Spears,['G'],['G'],85,DIS,#8C5C20,140,92,32,Flash FoliageDIS4
2779,Flash Foliage,Ron Spears,['G'],['G'],85,DIS,#D9601A,217,96,26,Flash FoliageDIS5
2780,Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,#D9AA55,217,170,85,Indrik StomphowlerDIS1
2781,Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,#F2DDB6,242,221,182,Indrik StomphowlerDIS2
2782,Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,#BF8A49,191,138,73,Indrik StomphowlerDIS3
2783,Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,#A68863,166,136,99,Indrik StomphowlerDIS4
2784,Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,#402C1A,64,44,26,Indrik StomphowlerDIS5
2785,Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,#D9BA82,217,186,130,Loaming ShamanDIS1
2786,Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,#A6926D,166,146,109,Loaming ShamanDIS2
2787,Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,#F2E1C2,242,225,194,Loaming ShamanDIS3
2788,Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,#735634,115,86,52,Loaming ShamanDIS4
2789,Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,#402A1E,64,42,30,Loaming ShamanDIS5
2790,Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,#8C7E35,140,126,53,Might of the NephilimDIS1
2791,Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,#D9BB62,217,187,98,Might of the NephilimDIS2
2792,Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,#D9B777,217,183,119,Might of the NephilimDIS3
2793,Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,#73532C,115,83,44,Might of the NephilimDIS4
2794,Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,#8C2C23,140,44,35,Might of the NephilimDIS5
2795,Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,#61733C,97,115,60,Patagia ViperDIS1
2796,Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,#A2A63C,162,166,60,Patagia ViperDIS2
2797,Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,#261E10,38,30,16,Patagia ViperDIS3
2798,Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,#D9D3C7,217,211,199,Patagia ViperDIS4
2799,Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,#A69886,166,152,134,Patagia ViperDIS5
2800,Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,#D9B54A,217,181,74,Protean HulkDIS1
2801,Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,#F2C288,242,194,136,Protean HulkDIS2
2802,Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,#D9895B,217,137,91,Protean HulkDIS3
2803,Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,#8C5F45,140,95,69,Protean HulkDIS4
2804,Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,#BF3C1F,191,60,31,Protean HulkDIS5
2805,Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,#BF8F36,191,143,54,Simic BasiliskDIS1
2806,Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,#BF8136,191,129,54,Simic BasiliskDIS2
2807,Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,#402813,64,40,19,Simic BasiliskDIS3
2808,Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,#A6511F,166,81,31,Simic BasiliskDIS4
2809,Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,#733A19,115,58,25,Simic BasiliskDIS5
2810,Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,#6B8C49,107,140,73,Simic InitiateDIS1
2811,Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,#4B5936,75,89,54,Simic InitiateDIS2
2812,Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,#9FBF5A,159,191,90,Simic InitiateDIS3
2813,Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,#A3A656,163,166,86,Simic InitiateDIS4
2814,Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,#733E20,115,62,32,Simic InitiateDIS5
2815,Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,#B6BF95,182,191,149,Simic RagwormDIS1
2816,Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,#8C8954,140,137,84,Simic RagwormDIS2
2817,Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,#BF9A56,191,154,86,Simic RagwormDIS3
2818,Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,#594828,89,72,40,Simic RagwormDIS4
2819,Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,#40281A,64,40,26,Simic RagwormDIS5
2820,Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,#5697BF,86,151,191,Sporeback TrollDIS1
2821,Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,#456A73,69,106,115,Sporeback TrollDIS2
2822,Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,#B4D2D9,180,210,217,Sporeback TrollDIS3
2823,Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,#D9CE9A,217,206,154,Sporeback TrollDIS4
2824,Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,#A68A56,166,138,86,Sporeback TrollDIS5
2825,Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,#31594B,49,89,75,Sprouting PhytohydraDIS1
2826,Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,#D6D984,214,217,132,Sprouting PhytohydraDIS2
2827,Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,#F2D16D,242,209,109,Sprouting PhytohydraDIS3
2828,Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,#F2DAAC,242,218,172,Sprouting PhytohydraDIS4
2829,Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,#73341D,115,52,29,Sprouting PhytohydraDIS5
2830,Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,#D9A25F,217,162,95,Stomp and HowlDIS1
2831,Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,#F2CA99,242,202,153,Stomp and HowlDIS2
2832,Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,#D9A577,217,165,119,Stomp and HowlDIS3
2833,Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,#A65F37,166,95,55,Stomp and HowlDIS4
2834,Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,#733924,115,57,36,Stomp and HowlDIS5
2835,Street Savvy,Kev Walker,['G'],['G'],97,DIS,#3F594B,63,89,75,Street SavvyDIS1
2836,Street Savvy,Kev Walker,['G'],['G'],97,DIS,#6E8C69,110,140,105,Street SavvyDIS2
2837,Street Savvy,Kev Walker,['G'],['G'],97,DIS,#84A67B,132,166,123,Street SavvyDIS3
2838,Street Savvy,Kev Walker,['G'],['G'],97,DIS,#C0D99C,192,217,156,Street SavvyDIS4
2839,Street Savvy,Kev Walker,['G'],['G'],97,DIS,#261E17,38,30,23,Street SavvyDIS5
2840,Thrive,Daren Bader,['G'],['G'],98,DIS,#567339,86,115,57,ThriveDIS1
2841,Thrive,Daren Bader,['G'],['G'],98,DIS,#D5D973,213,217,115,ThriveDIS2
2842,Thrive,Daren Bader,['G'],['G'],98,DIS,#F2E18D,242,225,141,ThriveDIS3
2843,Thrive,Daren Bader,['G'],['G'],98,DIS,#BF7534,191,117,52,ThriveDIS4
2844,Thrive,Daren Bader,['G'],['G'],98,DIS,#A6592D,166,89,45,ThriveDIS5
2845,Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,#3A668C,58,102,140,Utopia SprawlDIS1
2846,Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,#A69541,166,149,65,Utopia SprawlDIS2
2847,Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,#F2C894,242,200,148,Utopia SprawlDIS3
2848,Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,#D9501E,217,80,30,Utopia SprawlDIS4
2849,Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,#D95448,217,84,72,Utopia SprawlDIS5
2850,Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,#BBBF4B,187,191,75,Verdant EidolonDIS1
2851,Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,#D9D26C,217,210,108,Verdant EidolonDIS2
2852,Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,#8C7735,140,119,53,Verdant EidolonDIS3
2853,Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,#D9CA9C,217,202,156,Verdant EidolonDIS4
2854,Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,#262014,38,32,20,Verdant EidolonDIS5
2855,Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,#789EBF,120,158,191,Aethermage's TouchDIS1
2856,Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,#F2B749,242,183,73,Aethermage's TouchDIS2
2857,Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,#D9923B,217,146,59,Aethermage's TouchDIS3
2858,Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,#261E17,38,30,23,Aethermage's TouchDIS4
2859,Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,#A64B29,166,75,41,Aethermage's TouchDIS5
2860,Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,#D9BB62,217,187,98,Anthem of RakdosDIS1
2861,Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,#BF9E60,191,158,96,Anthem of RakdosDIS2
2862,Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,#8C6B42,140,107,66,Anthem of RakdosDIS3
2863,Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,#261C14,38,28,20,Anthem of RakdosDIS4
2864,Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,#BF4136,191,65,54,Anthem of RakdosDIS5
2865,Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,#F2DB66,242,219,102,Assault ZeppelidDIS1
2866,Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,#D9B64E,217,182,78,Assault ZeppelidDIS2
2867,Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,#A67E33,166,126,51,Assault ZeppelidDIS3
2868,Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,#8C582A,140,88,42,Assault ZeppelidDIS4
2869,Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,#F2E0D0,242,224,208,Assault ZeppelidDIS5
2870,Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,#BF99A3,191,153,163,Azorius AethermageDIS1
2871,Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,#2E3959,46,57,89,Azorius AethermageDIS2
2872,Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,#37538C,55,83,140,Azorius AethermageDIS3
2873,Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,#73BCD9,115,188,217,Azorius AethermageDIS4
2874,Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,#592A19,89,42,25,Azorius AethermageDIS5
2875,Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,#F2A950,242,169,80,Azorius First-WingDIS1
2876,Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,#F2C288,242,194,136,Azorius First-WingDIS2
2877,Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,#402312,64,35,18,Azorius First-WingDIS3
2878,Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,#D97E4A,217,126,74,Azorius First-WingDIS4
2879,Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,#BF5D39,191,93,57,Azorius First-WingDIS5
2880,Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,#2B678C,43,103,140,Azorius PloyDIS1
2881,Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,#6F9CA6,111,156,166,Azorius PloyDIS2
2882,Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,#1B261F,27,38,31,Azorius PloyDIS3
2883,Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,#D9D3C1,217,211,193,Azorius PloyDIS4
2884,Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,#A68446,166,132,70,Azorius PloyDIS5
2885,Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,#BFB99B,191,185,155,Coiling OracleDIS1
2886,Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,#D9B54A,217,181,74,Coiling OracleDIS2
2887,Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,#D9C58B,217,197,139,Coiling OracleDIS3
2888,Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,#A6813C,166,129,60,Coiling OracleDIS4
2889,Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,#593F1E,89,63,30,Coiling OracleDIS5
2890,Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,#6BB0BF,107,176,191,CytoshapeDIS1
2891,Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,#D9B26A,217,178,106,CytoshapeDIS2
2892,Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,#F28D35,242,141,53,CytoshapeDIS3
2893,Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,#D95323,217,83,35,CytoshapeDIS4
2894,Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,#593122,89,49,34,CytoshapeDIS5
2895,Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,#385273,56,82,115,Dread SlagDIS1
2896,Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,#D9A87E,217,168,126,Dread SlagDIS2
2897,Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,#BF3C1F,191,60,31,Dread SlagDIS3
2898,Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,#D93829,217,56,41,Dread SlagDIS4
2899,Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,#591E18,89,30,24,Dread SlagDIS5
2900,Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,#A67CA3,166,124,163,Experiment KrajDIS1
2901,Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,#6E4D73,110,77,115,Experiment KrajDIS2
2902,Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,#5D8C60,93,140,96,Experiment KrajDIS3
2903,Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,#CFD982,207,217,130,Experiment KrajDIS4
2904,Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,#A0A677,160,166,119,Experiment KrajDIS5
2905,Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,#F2A35E,242,163,94,Gobhobbler RatsDIS1
2906,Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,#F2762E,242,118,46,Gobhobbler RatsDIS2
2907,Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,#D93B18,217,59,24,Gobhobbler RatsDIS3
2908,Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,#592115,89,33,21,Gobhobbler RatsDIS4
2909,Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,#BF2C1F,191,44,31,Gobhobbler RatsDIS5
2910,Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,#35528C,53,82,140,Grand Arbiter Augustin IVDIS1
2911,Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,#264773,38,71,115,Grand Arbiter Augustin IVDIS2
2912,Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,#26658C,38,101,140,Grand Arbiter Augustin IVDIS3
2913,Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,#F2ECCE,242,236,206,Grand Arbiter Augustin IVDIS4
2914,Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,#D9B448,217,180,72,Grand Arbiter Augustin IVDIS5
2915,Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,#F29B30,242,155,48,Hellhole RatsDIS1
2916,Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,#F28B30,242,139,48,Hellhole RatsDIS2
2917,Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,#F2762E,242,118,46,Hellhole RatsDIS3
2918,Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,#D94B2B,217,75,43,Hellhole RatsDIS4
2919,Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,#8C3737,140,55,55,Hellhole RatsDIS5
2920,Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,#F2D16D,242,209,109,Isperia the InscrutableDIS1
2921,Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,#F2C166,242,193,102,Isperia the InscrutableDIS2
2922,Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,#F2B263,242,178,99,Isperia the InscrutableDIS3
2923,Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,#8C4C27,140,76,39,Isperia the InscrutableDIS4
2924,Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,#BF3E21,191,62,33,Isperia the InscrutableDIS5
2925,Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,#F2CF63,242,207,99,Jagged PoppetDIS1
2926,Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,#F28B30,242,139,48,Jagged PoppetDIS2
2927,Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,#F27127,242,113,39,Jagged PoppetDIS3
2928,Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,#F25922,242,89,34,Jagged PoppetDIS4
2929,Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,#A6261B,166,38,27,Jagged PoppetDIS5
2930,Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,#E6F2DC,230,242,220,Leafdrake RoostDIS1
2931,Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,#6B8C4A,107,140,74,Leafdrake RoostDIS2
2932,Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,#C6D9B4,198,217,180,Leafdrake RoostDIS3
2933,Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,#3C401E,60,64,30,Leafdrake RoostDIS4
2934,Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,#8C7F3B,140,127,59,Leafdrake RoostDIS5
2935,"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,#F2CA50,242,202,80,"Lyzolda, the Blood WitchDIS1"
2936,"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,#F2BE5C,242,190,92,"Lyzolda, the Blood WitchDIS2"
2937,"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,#F28B30,242,139,48,"Lyzolda, the Blood WitchDIS3"
2938,"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,#F2762E,242,118,46,"Lyzolda, the Blood WitchDIS4"
2939,"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,#BF4226,191,66,38,"Lyzolda, the Blood WitchDIS5"
2940,"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,#60A699,96,166,153,"Momir Vig, Simic VisionaryDIS1"
2941,"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,#24735C,36,115,92,"Momir Vig, Simic VisionaryDIS2"
2942,"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,#42592A,66,89,42,"Momir Vig, Simic VisionaryDIS3"
2943,"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,#92A64B,146,166,75,"Momir Vig, Simic VisionaryDIS4"
2944,"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,#F2E963,242,233,99,"Momir Vig, Simic VisionaryDIS5"
2945,Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,#4F6C73,79,108,115,OmnibianDIS1
2946,Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,#D9D6B0,217,214,176,OmnibianDIS2
2947,Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,#BFA454,191,164,84,OmnibianDIS3
2948,Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,#736438,115,100,56,OmnibianDIS4
2949,Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,#262014,38,32,20,OmnibianDIS5
2950,Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,#377BA6,55,123,166,OverruleDIS1
2951,Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,#F2B950,242,185,80,OverruleDIS2
2952,Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,#A6916A,166,145,106,OverruleDIS3
2953,Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,#D97B29,217,123,41,OverruleDIS4
2954,Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,#BF4417,191,68,23,OverruleDIS5
2955,Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,#D9C359,217,195,89,Pain MagnificationDIS1
2956,Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,#D99441,217,148,65,Pain MagnificationDIS2
2957,Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,#402D16,64,45,22,Pain MagnificationDIS3
2958,Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,#BF7534,191,117,52,Pain MagnificationDIS4
2959,Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,#733E1F,115,62,31,Pain MagnificationDIS5
2960,Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,#D9B282,217,178,130,Palliation AccordDIS1
2961,Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,#8C7B6C,140,123,108,Palliation AccordDIS2
2962,Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,#734930,115,73,48,Palliation AccordDIS3
2963,Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,#40281B,64,40,27,Palliation AccordDIS4
2964,Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,#8C3C2A,140,60,42,Palliation AccordDIS5
2965,Plaxcaster Frogling,Greg Staples,"['G', 'U']","['G', 'U']",123,DIS,#BFB960,191,185,96,Plaxcaster FroglingDIS1
2966,Plaxcaster Frogling,Greg Staples,"['G', 'U']","['G', 'U']",123,DIS,#A69649,166,150,73,Plaxcaster FroglingDIS2
2967,Plaxcaster Frogling,Greg Staples,"['G', 'U']","['G', 'U']",123,DIS,#8C7C4D,140,124,77,Plaxcaster FroglingDIS3
2968,Plaxcaster Frogling,Greg Staples,"['G', 'U']","['G', 'U']",123,DIS,#F2EADF,242,234,223,Plaxcaster FroglingDIS4
