name,artist,colourid,colour,collectornum,expansion,hexval
Spell Snare,Hideaki Takamura,['U'],['U'],33,DIS,"#3B5E8C
#4B93BF
#5FC2D9
#A66946
#733A2D"
Tidespout Tyrant,Dany Orizio,['U'],['U'],34,DIS,"#A66571
#5EA4BF
#D9AC59
#D99559
#D9765F"
Vigean Graftmage,Alan Pollack,['U'],['U'],35,DIS,"#4C735D
#F2E852
#D9D04E
#F2E085
#732F17"
Vision Skeins,Aleksi Briclot,['U'],['U'],36,DIS,"#6C8C8C
#93BFBB
#C4D9B0
#F2F0D0
#261E17"
Writ of Passage,Luca Zontini,['U'],['U'],37,DIS,"#9386A6
#D9A74A
#BF8034
#D98555
#A65B4B"
Bond of Agony,Luca Zontini,['B'],['B'],38,DIS,"#D98B48
#BF612A
#8C3C1F
#401D10
#BF2517"
Brain Pry,Jim Nelson,['B'],['B'],39,DIS,"#F2BC57
#D97925
#A68D77
#732F17
#BF3E21"
Crypt Champion,Pete Venters,"['B', 'R']",['B'],40,DIS,"#A68953
#403728
#D9BD8B
#F2DFBB
#732F17"
Delirium Skeins,Aleksi Briclot,['B'],['B'],41,DIS,"#1A3C40
#F2B885
#734226
#D96941
#F29F80"
Demon's Jester,Pete Venters,['B'],['B'],42,DIS,"#F2C84B
#F2B749
#F2A341
#F2762E
#D93B18"
Drekavac,Carl Critchlow,['B'],['B'],43,DIS,"#BFAD54
#26221A
#A69F92
#8C694A
#D9B29C"
Enemy of the Guildpact,Fred Hooper,['B'],['B'],44,DIS,"#BF889C
#8C657B
#615573
#261E17
#8C7F77"
Entropic Eidolon,Aleksi Briclot,['B'],['B'],45,DIS,"#F2D272
#594725
#D9984A
#A6652D
#A64724"
Infernal Tutor,Kev Walker,['B'],['B'],46,DIS,"#F2CD5C
#BFA450
#BF9F63
#A6927B
#261E17"
Macabre Waltz,Jim Murray,['B'],['B'],47,DIS,"#B2BF9F
#736F3D
#F26938
#D93B18
#8C2C16"
Nettling Curse,Jeremy Jarvis & Wayne Reynolds,"['B', 'R']",['B'],48,DIS,"#BFAC95
#D99962
#8C3623
#D96248
#402019"
Nightcreep,Jeff Miracola,['B'],['B'],49,DIS,"#D6D979
#BF8136
#735838
#A6652D
#402414"
Nihilistic Glee,Ron Spears & Wayne Reynolds,['B'],['B'],50,DIS,"#D9A86C
#A66D3C
#D94B18
#592614
#A6351C"
Ragamuffyn,rk post,['B'],['B'],51,DIS,"#F2B544
#262014
#BF702A
#8C5A2E
#59201B"
Ratcatcher,Dan Scott,['B'],['B'],52,DIS,"#F2E3B3
#F2C572
#D99559
#8C5535
#59342C"
Seal of Doom,Ralph Horsley,['B'],['B'],53,DIS,"#BF75A5
#D9BB62
#BF9A56
#A67C49
#735032"
Slaughterhouse Bouncer,Greg Staples,['B'],['B'],54,DIS,"#F2A444
#D96E30
#BF4E24
#8C311C
#401410"
Slithering Shade,Daren Bader,['B'],['B'],55,DIS,"#D9A76A
#F2D0A7
#D95D30
#73412F
#D99E89"
Unliving Psychopath,Greg Staples,['B'],['B'],56,DIS,"#6C6A73
#BFBFB0
#BF8450
#261E17
#D98977"
Vesper Ghoul,Thomas M. Baxa,['B'],['B'],57,DIS,"#BFAD50
#F2E0BD
#F27127
#735645
#D93814"
Wit's End,Kev Walker,['B'],['B'],58,DIS,"#5A6273
#F2C3A7
#59261B
#F2A391
#F2786D"
Cackling Flames,Shishizaru,['R'],['R'],59,DIS,"#F2D49B
#F2A03D
#F2762E
#D93814
#8C241B"
Demonfire,Greg Staples,['R'],['R'],60,DIS,"#F2CD5C
#F28F38
#F25D27
#BF3E21
#73241D"
Flame-Kin War Scout,Fred Hooper,['R'],['R'],61,DIS,"#F2A03D
#F28A2E
#F27127
#D94B18
#592316"
Flaring Flame-Kin,Brian Hagan,['R'],['R'],62,DIS,"#F2C84B
#F29E38
#F27127
#D93B18
#731F17"
Gnat Alley Creeper,Pete Venters,['R'],['R'],63,DIS,"#F2C84B
#F2BF5E
#D99543
#73532D
#D96B2B"
Ignorant Bliss,Jeff Miracola,['R'],['R'],64,DIS,"#3279A6
#4189A6
#D95525
#8C241B
#401915"
Kill-Suit Cultist,Alex Horley-Orlandelli,"['B', 'R']",['R'],65,DIS,"#705D8C
#D9B855
#D98F4E
#BF7449
#8C4D3F"
Kindle the Carnage,Dany Orizio,['R'],['R'],66,DIS,"#F2BC57
#F28D35
#D96725
#592519
#D92A1A"
Ogre Gatecrasher,Daren Bader,['R'],['R'],67,DIS,"#F2D479
#F2C572
#40311E
#F2935C
#D9704A"
Psychotic Fury,Kev Walker,['R'],['R'],68,DIS,"#F25922
#F2441D
#A62B1F
#591E18
#F2ADA7"
Rakdos Pit Dragon,Kev Walker,['R'],['R'],69,DIS,"#8C7787
#F2E1C2
#F2C49B
#BF6956
#D9ABA0"
Sandstorm Eidolon,Brian Hagan,['R'],['R'],70,DIS,"#F2CD5E
#F2A950
#F27B35
#D9411E
#8C281F"
Seal of Fire,Ralph Horsley,['R'],['R'],71,DIS,"#F2D64B
#F2B33D
#F28729
#D9734E
#A64029"
Squealing Devil,Matt Cavotta,"['B', 'R']",['R'],72,DIS,"#21402E
#407356
#7BA681
#BF3617
#732B1A"
Stalking Vengeance,Anthony S. Waters,['R'],['R'],73,DIS,"#F2A057
#F26938
#F22F1D
#8C281F
#F24141"
Stormscale Anarch,Ralph Horsley,['R'],['R'],74,DIS,"#F28B30
#8C715A
#F27127
#D95829
#A63C24"
Taste for Mayhem,Greg Hildebrandt,['R'],['R'],75,DIS,"#58658C
#95ACBF
#D9D0C1
#BF4D34
#8C4B45"
Utvara Scalper,Christopher Rush,['R'],['R'],76,DIS,"#F2C84B
#F2B84B
#F2A74B
#BF6430
#A64C38"
War's Toll,Dana Knutson,['R'],['R'],77,DIS,"#F2C53D
#F2AE30
#F29A2E
#F26B1D
#BF3415"
Weight of Spires,Michael Sutfin,['R'],['R'],78,DIS,"#8C6C78
#F2845C
#F25E3D
#D93425
#A62F24"
Whiptail Moloch,Darrell Riche,['R'],['R'],79,DIS,"#F28B30
#F27127
#D93B18
#59261B
#A62B1F"
Aquastrand Spider,Dany Orizio,['G'],['G'],80,DIS,"#93B7BF
#678C4D
#7CA653
#94BF54
#8C613B"
Cytoplast Root-Kin,Thomas M. Baxa,['G'],['G'],81,DIS,"#D9B343
#D9A648
#BF863F
#A64724
#401B13"
Cytospawn Shambler,Anthony S. Waters,['G'],['G'],82,DIS,"#39736D
#D9D1BA
#262014
#BF7245
#592411"
Elemental Resonance,Mark Tedin,['G'],['G'],83,DIS,"#D9D26C
#F2EDA7
#BFA041
#A68444
#734A26"
Fertile Imagination,Dan Scott,['G'],['G'],84,DIS,"#444373
#9BBFB2
#22402C
#E4F2E7
#85A663"
Flash Foliage,Ron Spears,['G'],['G'],85,DIS,"#F2D64B
#D9B343
#D98D30
#8C5C20
#D9601A"
Indrik Stomphowler,Carl Critchlow,['G'],['G'],86,DIS,"#D9AA55
#F2DDB6
#BF8A49
#A68863
#402C1A"
Loaming Shaman,Carl Critchlow,['G'],['G'],87,DIS,"#D9BA82
#A6926D
#F2E1C2
#735634
#402A1E"
Might of the Nephilim,Paolo Parente,['G'],['G'],88,DIS,"#8C7E35
#D9BB62
#D9B777
#73532C
#8C2C23"
Patagia Viper,Christopher Moeller,"['G', 'U']",['G'],89,DIS,"#61733C
#A2A63C
#261E10
#D9D3C7
#A69886"
Protean Hulk,Matt Cavotta,['G'],['G'],90,DIS,"#D9B54A
#F2C288
#D9895B
#8C5F45
#BF3C1F"
Simic Basilisk,Luca Zontini,['G'],['G'],91,DIS,"#BF8F36
#BF8136
#402813
#A6511F
#733A19"
Simic Initiate,Dany Orizio,['G'],['G'],92,DIS,"#6B8C49
#4B5936
#9FBF5A
#A3A656
#733E20"
Simic Ragworm,Nick Percival,"['G', 'U']",['G'],93,DIS,"#B6BF95
#8C8954
#BF9A56
#594828
#40281A"
Sporeback Troll,Dan Scott,['G'],['G'],94,DIS,"#5697BF
#456A73
#B4D2D9
#D9CE9A
#A68A56"
Sprouting Phytohydra,Heather Hudson,['G'],['G'],95,DIS,"#31594B
#D6D984
#F2D16D
#F2DAAC
#73341D"
Stomp and Howl,Carl Critchlow,['G'],['G'],96,DIS,"#D9A25F
#F2CA99
#D9A577
#A65F37
#733924"
Street Savvy,Kev Walker,['G'],['G'],97,DIS,"#3F594B
#6E8C69
#84A67B
#C0D99C
#261E17"
Thrive,Daren Bader,['G'],['G'],98,DIS,"#567339
#D5D973
#F2E18D
#BF7534
#A6592D"
Utopia Sprawl,Ron Spears,['G'],['G'],99,DIS,"#3A668C
#A69541
#F2C894
#D9501E
#D95448"
Verdant Eidolon,Tsutomu Kawade,['G'],['G'],100,DIS,"#BBBF4B
#D9D26C
#8C7735
#D9CA9C
#262014"
Aethermage's Touch,Randy Gallegos,"['U', 'W']","['U', 'W']",101,DIS,"#789EBF
#F2B749
#D9923B
#261E17
#A64B29"
Anthem of Rakdos,Ralph Horsley,"['B', 'R']","['B', 'R']",102,DIS,"#D9BB62
#BF9E60
#8C6B42
#261C14
#BF4136"
Assault Zeppelid,Jeremy Jarvis,"['G', 'U']","['G', 'U']",103,DIS,"#F2DB66
#D9B64E
#A67E33
#8C582A
#F2E0D0"
Azorius Aethermage,Heather Hudson,"['U', 'W']","['U', 'W']",104,DIS,"#BF99A3
#2E3959
#37538C
#73BCD9
#592A19"
Azorius First-Wing,Alex Horley-Orlandelli,"['U', 'W']","['U', 'W']",105,DIS,"#F2A950
#F2C288
#402312
#D97E4A
#BF5D39"
Azorius Ploy,Michael Sutfin,"['U', 'W']","['U', 'W']",106,DIS,"#2B678C
#6F9CA6
#1B261F
#D9D3C1
#A68446"
Coiling Oracle,Mark Zug,"['G', 'U']","['G', 'U']",107,DIS,"#BFB99B
#D9B54A
#D9C58B
#A6813C
#593F1E"
Cytoshape,Alan Pollack,"['G', 'U']","['G', 'U']",108,DIS,"#6BB0BF
#D9B26A
#F28D35
#D95323
#593122"
Dread Slag,Anthony S. Waters,"['B', 'R']","['B', 'R']",109,DIS,"#385273
#D9A87E
#BF3C1F
#D93829
#591E18"
Experiment Kraj,Mark Tedin,"['G', 'U']","['G', 'U']",110,DIS,"#A67CA3
#6E4D73
#5D8C60
#CFD982
#A0A677"
Gobhobbler Rats,Michael Sutfin,"['B', 'R']","['B', 'R']",111,DIS,"#F2A35E
#F2762E
#D93B18
#592115
#BF2C1F"
Grand Arbiter Augustin IV,Zoltan Boros & Gabor Szikszai,"['U', 'W']","['U', 'W']",112,DIS,"#35528C
#264773
#26658C
#F2ECCE
#D9B448"
Hellhole Rats,Kev Walker,"['B', 'R']","['B', 'R']",113,DIS,"#F29B30
#F28B30
#F2762E
#D94B2B
#8C3737"
Isperia the Inscrutable,Greg Staples,"['U', 'W']","['U', 'W']",114,DIS,"#F2D16D
#F2C166
#F2B263
#8C4C27
#BF3E21"
Jagged Poppet,Jeff Miracola,"['B', 'R']","['B', 'R']",115,DIS,"#F2CF63
#F28B30
#F27127
#F25922
#A6261B"
Leafdrake Roost,Nick Percival,"['G', 'U']","['G', 'U']",116,DIS,"#E6F2DC
#6B8C4A
#C6D9B4
#3C401E
#8C7F3B"
"Lyzolda, the Blood Witch",Jim Nelson,"['B', 'R']","['B', 'R']",117,DIS,"#F2CA50
#F2BE5C
#F28B30
#F2762E
#BF4226"
"Momir Vig, Simic Visionary",Zoltan Boros & Gabor Szikszai,"['G', 'U']","['G', 'U']",118,DIS,"#60A699
#24735C
#42592A
#92A64B
#F2E963"
Omnibian,Jim Nelson,"['G', 'U']","['G', 'U']",119,DIS,"#4F6C73
#D9D6B0
#BFA454
#736438
#262014"
Overrule,Alan Pollack,"['U', 'W']","['U', 'W']",120,DIS,"#377BA6
#F2B950
#A6916A
#D97B29
#BF4417"
Pain Magnification,Aleksi Briclot,"['B', 'R']","['B', 'R']",121,DIS,"#D9C359
#D99441
#402D16
#BF7534
#733E1F"
Palliation Accord,William Simpson,"['U', 'W']","['U', 'W']",122,DIS,"#D9B282
#8C7B6C
#734930
#40281B
#8C3C2A"
Plaxcaster Frogling,Greg Staples,"['G', 'U']","['G', 'U']",123,DIS,"#BFB960
#A69649
#8C7C4D
#F2EADF
#593119"
Plumes of Peace,Justin Sweet,"['U', 'W']","['U', 'W']",124,DIS,"#4E94BF
#65A6BF
#A68D60
#F2E6D0
#D98555"
Pride of the Clouds,Rebecca Guay,"['U', 'W']","['U', 'W']",125,DIS,"#6D7BA6
#D9D15F
#D9C76C
#D9D4BA
#A69151"
Rain of Gore,Fred Hooper,"['B', 'R']","['B', 'R']",126,DIS,"#26140D
#59261B
#D98673
#8C2920
#BF4539"
Rakdos Augermage,Zoltan Boros & Gabor Szikszai,"['B', 'R']","['B', 'R']",127,DIS,"#F2BF80
#F29441
#F2762E
#BF391B
#592418"
Rakdos Ickspitter,Christopher Rush,"['B', 'R']","['B', 'R']",128,DIS,"#F2D479
#D98E32
#A6511F
#592512
#D93814"
Rakdos the Defiler,Zoltan Boros & Gabor Szikszai,"['B', 'R']","['B', 'R']",129,DIS,"#F2D98D
#F2AC57
#D96A29
#BF491F
#732B1A"
Simic Sky Swallower,rk post,"['G', 'U']","['G', 'U']",130,DIS,"#5C6F73
#BFA678
#BFB093
#BF7839
#402B19"
Sky Hussar,Kev Walker,"['U', 'W']","['U', 'W']",131,DIS,"#A097A6
#5D75A6
#40281F
#D9BBB0
#F2ECEB"
Swift Silence,Greg Staples,"['U', 'W']","['U', 'W']",132,DIS,"#F2C166
#262014
#D99D55
#64A3B0
#734429"
Trygon Predator,Carl Critchlow,"['G', 'U']","['G', 'U']",133,DIS,"#D5E7F2
#403324
#BFAC95
#F2E0C9
#8C7C6D"
Twinstrike,Christopher Rush,"['B', 'R']","['B', 'R']",134,DIS,"#2E78A6
#F2811D
#F26B1D
#732F16
#D9320D"
Vigean Hydropon,Anthony S. Waters,"['G', 'U']","['G', 'U']",135,DIS,"#BCBF69
#262014
#D9A76A
#8C4B26
#592715"
Vigean Intuition,Alex Horley-Orlandelli,"['G', 'U']","['G', 'U']",136,DIS,"#C1D9BA
#7FA658
#D5D973
#F2E394
#262014"
Voidslime,Jim Murray,"['G', 'U']","['G', 'U']",137,DIS,"#B8D9CA
#A7BF50
#F2B84B
#734226
#F2784B"
Windreaver,Aleksi Briclot,"['U', 'W']","['U', 'W']",138,DIS,"#6099A6
#384027
#6E734C
#BFBA9F
#262014"
Wrecking Ball,Ron Spears,"['B', 'R']","['B', 'R']",139,DIS,"#F2CD5E
#F28A2E
#D9AB82
#F27127
#D95829"
Avatar of Discord,rk post,"['B', 'R']","['B', 'R']",140,DIS,"#213A40
#261F11
#F2AE72
#BF6F41
#8C442A"
Azorius Guildmage,Christopher Moeller,"['U', 'W']","['U', 'W']",141,DIS,"#4177A6
#6D90A6
#9CC1D9
#736C5A
#BFBAA8"
Biomantic Mastery,Dan Scott,"['G', 'U']","['G', 'U']",142,DIS,"#32BAD9
#8EBFA8
#F2CA99
#BF8450
#8C3623"
Dovescape,Shishizaru,"['U', 'W']","['U', 'W']",143,DIS,"#2976A6
#3698BF
#73C6D9
#F2C094
#D93D3D"
Minister of Impediments,Brian Hagan,"['U', 'W']","['U', 'W']",144,DIS,"#2C5559
#262014
#D9965B
#BF522A
#8C3926"
Rakdos Guildmage,Jeremy Jarvis,"['B', 'R']","['B', 'R']",145,DIS,"#F2B950
#D97C2B
#BF5D24
#8C3C1F
#401E17"
Riot Spikes,Christopher Moeller,"['B', 'R']","['B', 'R']",146,DIS,"#8C8977
#262014
#734E39
#BF372A
#8C2920"
Shielding Plax,Brian Hagan,"['G', 'U']","['G', 'U']",147,DIS,"#F2B279
#F28444
#D95A2B
#A65E44
#40201D"
Simic Guildmage,Aleksi Briclot,"['G', 'U']","['G', 'U']",148,DIS,"#BFD9CA
#548C62
#858C74
#262014
#8C6A3F"
Azorius Signet,Greg Hildebrandt,"['U', 'W']",[],159,DIS,"#5D7CA6
#BF612A
#D9B6A3
#732817
#BF8275"
Bronze Bombshell,Martina Pilcerova,[],[],160,DIS,"#7AB8BF
#F2DB66
#BFA450
#BFAF80
#73542F"
Evolution Vat,John Avon,"['G', 'U']",[],161,DIS,"#468C85
#254029
#D9D166
#F2D857
#261E17"
Magewright's Stone,Carl Critchlow,[],[],162,DIS,"#517360
#261E0F
#BF6836
#D99F7E
#A66249"
Muse Vessel,Christopher Rush,[],[],163,DIS,"#2A708C
#D9A25F
#D98C4A
#A6592D
#732B1A"
Rakdos Riteknife,Jim Nelson,"['B', 'R']",[],164,DIS,"#F2B84B
#F28D35
#F27329
#D95323
#73261F"
Rakdos Signet,Greg Hildebrandt,"['B', 'R']",[],165,DIS,"#F2B84B
#F2A649
#F27127
#D93B18
#BF281B"
Simic Signet,Greg Hildebrandt,"['G', 'U']",[],166,DIS,"#4F528C
#4A5B8C
#6F9ABF
#94BF80
#C8D9A3"
Skullmead Cauldron,Martina Pilcerova,[],[],167,DIS,"#F2CA50
#F29B30
#F26B1D
#D93B18
#8C2F1B"
Transguild Courier,John Avon,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",168,DIS,"#261F11
#F2A444
#F2EADF
#BF5A1F
#D9A796"
Walking Archive,Heather Hudson,"['U', 'W']",[],169,DIS,"#F2D9BB
#D97925
#BF4E24
#402116
#733F2D"
Azorius Chancery,John Avon,"['U', 'W']",[],170,DIS,"#2C3F59
#35648C
#63A5BF
#F2D857
#F2DFA7"
Blood Crypt,Rob Alexander,"['B', 'R']",[],171,DIS,"#F2CB57
#F2B263
#BF6836
#D94625
#592316"
Breeding Pool,Rob Alexander,"['G', 'U']",[],172,DIS,"#2D4034
#90A68D
#D2D9A0
#71734D
#26261C"
Ghost Quarter,Heather Hudson,[],[],173,DIS,"#4F5E8C
#5D84A6
#A6A186
#734720
#40210F"
Hallowed Fountain,Rob Alexander,"['U', 'W']",[],174,DIS,"#F2CA80
#F2D6A2
#593C23
#A67A53
#F26430"
"Novijen, Heart of Progress",Martina Pilcerova,"['G', 'U']",[],175,DIS,"#77A69D
#BAD9CE
#43734A
#518C4F
#261B11"
Pillar of the Paruns,Dany Orizio,[],[],176,DIS,"#F2D5A0
#D9863D
#D99F6C
#8C3D20
#592918"
"Prahv, Spires of Order",Martina Pilcerova,"['U', 'W']",[],177,DIS,"#32628C
#4982A6
#8C8669
#F2E8C9
#D9B779"
Rakdos Carnarium,John Avon,"['B', 'R']",[],178,DIS,"#F2E088
#D98555
#D9411E
#8C3A27
#591E18"
"Rix Maadi, Dungeon Palace",Martina Pilcerova,"['B', 'R']",[],179,DIS,"#A68444
#D9B97E
#BF3415
#8C2C16
#591F12"
Simic Growth Chamber,John Avon,"['G', 'U']",[],180,DIS,"#4BA695
#A7D9D0
#367356
#25261A
#BCBF63"
Angel of Serenity,Aleksi Briclot,['W'],['W'],1,RTR,"#5A758C
#D9CA9C
#A68F72
#BF7B54
#D95448"
Armory Guard,Karl Kopinski,['W'],['W'],2,RTR,"#D9AD77
#BF8C60
#403124
#8C6C5A
#BF785E"
Arrest,Greg Staples,['W'],['W'],3,RTR,"#284040
#182625
#736C58
#A69E8F
#D9D2C5"
Avenging Arrow,James Ryman,['W'],['W'],4,RTR,"#7DA641
#F2DEA0
#F2BB77
#D99152
#734E46"
Azorius Arrester,Wayne Reynolds,['W'],['W'],5,RTR,"#BCA3BF
#364573
#313B59
#736D5C
#D9B18F"
Azorius Justiciar,Chris Rahn,['W'],['W'],6,RTR,"#385DA6
#F2EDD0
#D9C7A7
#A6826D
#733C30"
Bazaar Krovod,Lars Grant-West,['W'],['W'],7,RTR,"#402F21
#8C694A
#D9B596
#A65A2E
#A65132"
Concordia Pegasus,Winona Nelson,['W'],['W'],8,RTR,"#809BBF
#80A7BF
#262621
#A6442E
#732A24"
Ethereal Armor,Daarken,['W'],['W'],9,RTR,"#D9CC8B
#D9A86C
#8C593B
#BF3434
#592525"
Eyes in the Skies,James Ryman,['W'],['W'],10,RTR,"#738C4D
#B5BF65
#BF7D2C
#A69180
#8C593B"
Fencing Ace,David Rapoza,['W'],['W'],11,RTR,"#C6B8D9
#D97E4A
#BF452A
#8C3D2B
#592722"
Keening Apparition,Terese Nielsen,['W'],['W'],12,RTR,"#656573
#4A592A
#403323
#D9B391
#D9BBA9"
Knightly Valor,Matt Stewart,['W'],['W'],13,RTR,"#7858A6
#6583BF
#594A36
#A68A72
#8C4535"
Martial Law,Tyler Jacobson,['W'],['W'],14,RTR,"#46518C
#BF6F41
#A64E2E
#59231E
#8C2626"
Palisade Giant,Greg Staples,['W'],['W'],15,RTR,"#F2D479
#D9A25F
#734C29
#BF6C3B
#A65233"
Phantom General,Christopher Moeller,['W'],['W'],16,RTR,"#364559
#BF863F
#403222
#BF532C
#8C4126"
Precinct Captain,Steve Prescott,['W'],['W'],17,RTR,"#BFAC4B
#A69851
#D99748
#BF6836
#8C4E37"
Rest in Peace,Terese Nielsen,['W'],['W'],18,RTR,"#3868A6
#548DBF
#657334
#D6D98F
#F2E3B6"
Rootborn Defenses,Mark Zug,['W'],['W'],19,RTR,"#D9B166
#BF9056
#8C6A3F
#593E25
#A65221"
Security Blockade,James Ryman,['W'],['W'],20,RTR,"#D9B166
#262118
#D9A86C
#A67246
#8C593B"
Selesnya Sentry,Wesley Burt,"['G', 'W']",['W'],21,RTR,"#717338
#73653D
#A66641
#8C503A
#40271E"
Seller of Songbirds,Christopher Moeller,['W'],['W'],22,RTR,"#719ED9
#7EAED9
#BF9169
#D94F30
#8C2E26"
Soul Tithe,Dave Kendall,['W'],['W'],23,RTR,"#D9B343
#D9A648
#A66D3C
#A64E2E
#A63429"
Sphere of Safety,Slawomir Maniak,['W'],['W'],24,RTR,"#262621
#F2E5A0
#F2DAAC
#F29863
#8C5C4A"
Sunspire Griffin,Johannes Voss,['W'],['W'],25,RTR,"#8C895A
#D9CCC1
#BF9780
#402A22
#A66565"
Swift Justice,Karl Kopinski,['W'],['W'],26,RTR,"#F2DC9B
#403A2F
#D9AB73
#A67F5D
#736055"
Trained Caracal,James Ryman,['W'],['W'],27,RTR,"#A65883
#A5BF7E
#D9D4BA
#D96236
#8C3A27"
Trostani's Judgment,Christopher Moeller,['W'],['W'],28,RTR,"#9373BF
#BF8641
#BF6430
#8C3A27
#59291E"
Aquus Steed,Warren Mahy,['U'],['U'],29,RTR,"#88D4F2
#84A63C
#718C35
#D9B752
#8C4130"
Blustersquall,Willian Murai,['U'],['U'],30,RTR,"#2E4559
#D9763D
#D94436
#8C362E
#D9ADA9"
Cancel,Karl Kopinski,['U'],['U'],31,RTR,"#1E3040
#D9B573
#F2DDB6
#BFA07A
#8C7764"
Chronic Flooding,Scott Chou,['U'],['U'],32,RTR,"#0D0D0C
#D9D0C7
#8C5D42
#735448
#734040"
Conjured Currency,Steve Argyle,['U'],['U'],33,RTR,"#D9A443
#D9A273
#59432F
#BF532C
#8C4227"
Crosstown Courier,Chase Stone,['U'],['U'],34,RTR,"#C5D9D0
#D9C58B
#735443
#402721
#A63F3F"
Cyclonic Rift,Chris Rahn,['U'],['U'],35,RTR,"#59222C
#5864A6
#F2D6A2
#BF7B54
#A65A3F"
Dispel,Chase Stone,['U'],['U'],36,RTR,"#255954
#F2D544
#F2B035
#D96F32
#BF5934"
Doorkeeper,Kev Walker,['U'],['U'],37,RTR,"#4F5E8C
#D9D1B8
#8C603A
#403226
#735858"
Downsize,Ryan Pancoast,['U'],['U'],38,RTR,"#42468C
#2E3159
#5080BF
#5BA9D9
#89CAD9"
Faerie Impostor,Johann Bodin,['U'],['U'],39,RTR,"#58498C
#2F3659
#222940
#8FAFD9
#F2A999"
Hover Barrier,Mathias Kollros,['U'],['U'],40,RTR,"#524859
#6AA6A6
#80BFAD
#D9C1B4
#8C6C6C"
Inaction Injunction,Wayne Reynolds,['U'],['U'],41,RTR,"#364A73
#D9CBA3
#8C7446
#D97D48
#BF5630"
Inspiration,Izzy,['U'],['U'],42,RTR,"#30478C
#222940
#3F6CA6
#66B8D9
#88BFB0"
Isperia's Skywatch,Chris Rahn,['U'],['U'],43,RTR,"#524859
#A9B5D9
#D9965B
#8C3D2B
#A67063"
"Jace, Architect of Thought",Jaime Jones,['U'],['U'],44,RTR,"#3370A6
#152626
#25403D
#C1D9D6
#BF9775"
Mizzium Skin,Scott Chou,['U'],['U'],45,RTR,"#30698C
#2D7373
#D9BE36
#BF8E34
#A64826"
Paralyzing Grasp,Scott Chou,['U'],['U'],46,RTR,"#6B6573
#2A4B8C
#242625
#D9D0C1
#A6998A"
Psychic Spiral,Ryan Pancoast,['U'],['U'],47,RTR,"#445CA6
#5A86BF
#96B9D9
#D9BD89
#A68C6D"
Runewing,Martina Pilcerova,['U'],['U'],48,RTR,"#4A678C
#4AA2D9
#73BCD9
#D5D9B8
#D9B166"
Search the City,Jack Wang,['U'],['U'],49,RTR,"#4E74A6
#325573
#F2B366
#D97A43
#A64833"
Skyline Predator,Wesley Burt,['U'],['U'],50,RTR,"#D97EA8
#5368A6
#BF4A30
#BFADA8
#735555"
Soulsworn Spirit,James Ryman,['U'],['U'],51,RTR,"#5A6B8C
#65AFBF
#8C793E
#F2E3B6
#A69472"
Sphinx of the Chimes,Greg Staples,['U'],['U'],52,RTR,"#2E3B40
#AABF95
#3D402C
#D6D9BF
#73694D"
Stealer of Secrets,Michael C. Hayes,['U'],['U'],53,RTR,"#354B8C
#2F4673
#254559
#3391A6
#25261F"
Syncopate,Clint Cearley,['U'],['U'],54,RTR,"#3767A6
#305473
#F2D377
#F2B56B
#BF6854"
Tower Drake,Ryan Barger,"['U', 'W']",['U'],55,RTR,"#2A3E59
#4184BF
#658C88
#D9AF8B
#D9A491"
Voidwielder,Chase Stone,['U'],['U'],56,RTR,"#364F59
#4C6C73
#C1D9D4
#8FBFB2
#262621"
Assassin's Strike,Chase Stone,['B'],['B'],57,RTR,"#344059
#5D718C
#22261C
#BF7B54
#A65C41"
Catacomb Slug,Nils Hamm,['B'],['B'],58,RTR,"#D991C6
#B395BF
#4F4559
#212620
#A69586"
Cremate,Cynthia Sheppard,['B'],['B'],59,RTR,"#285954
#F2B680
#D9734E
#D95032
#8C2C23"
Daggerdrome Imp,Jack Wang,['B'],['B'],60,RTR,"#394A59
#86A6A6
#BF2C2C
#A62D2D
#732F2F"
Dark Revenant,Daarken,['B'],['B'],61,RTR,"#75A644
#D9D05B
#A69333
#73672F
#26241E"
Dead Reveler,David Palumbo,['B'],['B'],62,RTR,"#261D1F
#D99771
#D96941
#D95032
#8C3C2A"
Desecration Demon,Jason Chan,['B'],['B'],63,RTR,"#23261D
#F2A74B
#D9753B
#8C5332
#D96236"
Destroy the Evidence,Clint Cearley,['B'],['B'],64,RTR,"#346173
#436A73
#2C4039
#262624
#BFBCBA"
Deviant Glee,Michael C. Hayes,"['B', 'R']",['B'],65,RTR,"#D95829
#D99282
#D93829
#8C2626
#591C1C"
Drainpipe Vermin,Trevor Claxton,['B'],['B'],66,RTR,"#232618
#8C7530
#BFA863
#736C58
#D9BD9C"
Grave Betrayal,Lucas Graciano,['B'],['B'],67,RTR,"#BF5E9D
#675C73
#A39BBF
#C8C5D9
#26221D"
Grim Roustabout,Steven Belledin,['B'],['B'],68,RTR,"#D9B23D
#BF8F36
#BF7534
#A65A2E
#8C4227"
Launch Party,Lucas Graciano,['B'],['B'],69,RTR,"#F29E38
#D96E30
#8C5230
#592E1E
#BF452A"
Mind Rot,Yeong-Hao Han,['B'],['B'],70,RTR,"#252618
#8C845D
#D9D1BA
#F2EDE4
#A6937C"
Necropolis Regent,Winona Nelson,['B'],['B'],71,RTR,"#402833
#6E7346
#565939
#0C0D0A
#26261C"
